emoji,description,version,keywords,category,group,subgroup,parent,components
🙋🏽‍♂️,"man raising hand: medium skin tone",4.0,gesture|hand|here|know|man|me|medium skin tone|pick|question|raise|raising,person-people,people-body,person-gesture,🙋‍♂️,🏽
🙋🏾‍♂️,"man raising hand: medium-dark skin tone",4.0,gesture|hand|here|know|man|me|medium-dark skin tone|pick|question|raise|raising,person-people,people-body,person-gesture,🙋‍♂️,🏾
🙋🏿‍♂️,"man raising hand: dark skin tone",4.0,dark skin tone|gesture|hand|here|know|man|me|pick|question|raise|raising,person-people,people-body,person-gesture,🙋‍♂️,🏿
🙋‍♀️,"woman raising hand",4.0,gesture|hand|here|know|me|pick|question|raise|raising|woman,person-people,people-body,person-gesture,,
🙋🏻‍♀️,"woman raising hand: light skin tone",4.0,gesture|hand|here|know|light skin tone|me|pick|question|raise|raising|woman,person-people,people-body,person-gesture,🙋‍♀️,🏻
🙋🏼‍♀️,"woman raising hand: medium-light skin tone",4.0,gesture|hand|here|know|me|medium-light skin tone|pick|question|raise|raising|woman,person-people,people-body,person-gesture,🙋‍♀️,🏼
🙋🏽‍♀️,"woman raising hand: medium skin tone",4.0,gesture|hand|here|know|me|medium skin tone|pick|question|raise|raising|woman,person-people,people-body,person-gesture,🙋‍♀️,🏽
🙋🏾‍♀️,"woman raising hand: medium-dark skin tone",4.0,gesture|hand|here|know|me|medium-dark skin tone|pick|question|raise|raising|woman,person-people,people-body,person-gesture,🙋‍♀️,🏾
🙋🏿‍♀️,"woman raising hand: dark skin tone",4.0,dark skin tone|gesture|hand|here|know|me|pick|question|raise|raising|woman,person-people,people-body,person-gesture,🙋‍♀️,🏿
🧏,"deaf person",12.0,accessibility|deaf|ear|gesture|hear|person,person-people,people-body,person-gesture,,
🧏🏻,"deaf person: light skin tone",12.0,accessibility|deaf|ear|gesture|hear|light skin tone|person,person-people,people-body,person-gesture,🧏,🏻
🧏🏼,"deaf person: medium-light skin tone",12.0,accessibility|deaf|ear|gesture|hear|medium-light skin tone|person,person-people,people-body,person-gesture,🧏,🏼
🧏🏽,"deaf person: medium skin tone",12.0,accessibility|deaf|ear|gesture|hear|medium skin tone|person,person-people,people-body,person-gesture,🧏,🏽
🧏🏾,"deaf person: medium-dark skin tone",12.0,accessibility|deaf|ear|gesture|hear|medium-dark skin tone|person,person-people,people-body,person-gesture,🧏,🏾
🧏🏿,"deaf person: dark skin tone",12.0,accessibility|dark skin tone|deaf|ear|gesture|hear|person,person-people,people-body,person-gesture,🧏,🏿
🧏‍♂️,"deaf man",12.0,accessibility|deaf|ear|gesture|hear|man,person-people,people-body,person-gesture,,
🧏🏻‍♂️,"deaf man: light skin tone",12.0,accessibility|deaf|ear|gesture|hear|light skin tone|man,person-people,people-body,person-gesture,🧏‍♂️,🏻
🧏🏼‍♂️,"deaf man: medium-light skin tone",12.0,accessibility|deaf|ear|gesture|hear|man|medium-light skin tone,person-people,people-body,person-gesture,🧏‍♂️,🏼
🧏🏽‍♂️,"deaf man: medium skin tone",12.0,accessibility|deaf|ear|gesture|hear|man|medium skin tone,person-people,people-body,person-gesture,🧏‍♂️,🏽
🧏🏾‍♂️,"deaf man: medium-dark skin tone",12.0,accessibility|deaf|ear|gesture|hear|man|medium-dark skin tone,person-people,people-body,person-gesture,🧏‍♂️,🏾
🧏🏿‍♂️,"deaf man: dark skin tone",12.0,accessibility|dark skin tone|deaf|ear|gesture|hear|man,person-people,people-body,person-gesture,🧏‍♂️,🏿
🧏‍♀️,"deaf woman",12.0,accessibility|deaf|ear|gesture|hear|woman,person-people,people-body,person-gesture,,
🧏🏻‍♀️,"deaf woman: light skin tone",12.0,accessibility|deaf|ear|gesture|hear|light skin tone|woman,person-people,people-body,person-gesture,🧏‍♀️,🏻
🧏🏼‍♀️,"deaf woman: medium-light skin tone",12.0,accessibility|deaf|ear|gesture|hear|medium-light skin tone|woman,person-people,people-body,person-gesture,🧏‍♀️,🏼
🧏🏽‍♀️,"deaf woman: medium skin tone",12.0,accessibility|deaf|ear|gesture|hear|medium skin tone|woman,person-people,people-body,person-gesture,🧏‍♀️,🏽
🧏🏾‍♀️,"deaf woman: medium-dark skin tone",12.0,accessibility|deaf|ear|gesture|hear|medium-dark skin tone|woman,person-people,people-body,person-gesture,🧏‍♀️,🏾
🧏🏿‍♀️,"deaf woman: dark skin tone",12.0,accessibility|dark skin tone|deaf|ear|gesture|hear|woman,person-people,people-body,person-gesture,🧏‍♀️,🏿
🙇,"person bowing",0.6,apology|ask|beg|bow|bowing|favor|forgive|gesture|meditate|meditation|person|pity|regret|sorry,person-people,people-body,person-gesture,,
🙇🏻,"person bowing: light skin tone",1.0,apology|ask|beg|bow|bowing|favor|forgive|gesture|light skin tone|meditate|meditation|person|pity|regret|sorry,person-people,people-body,person-gesture,🙇,🏻
🙇🏼,"person bowing: medium-light skin tone",1.0,apology|ask|beg|bow|bowing|favor|forgive|gesture|meditate|meditation|medium-light skin tone|person|pity|regret|sorry,person-people,people-body,person-gesture,🙇,🏼
🙇🏽,"person bowing: medium skin tone",1.0,apology|ask|beg|bow|bowing|favor|forgive|gesture|meditate|meditation|medium skin tone|person|pity|regret|sorry,person-people,people-body,person-gesture,🙇,🏽
🙇🏾,"person bowing: medium-dark skin tone",1.0,apology|ask|beg|bow|bowing|favor|forgive|gesture|meditate|meditation|medium-dark skin tone|person|pity|regret|sorry,person-people,people-body,person-gesture,🙇,🏾
🙇🏿,"person bowing: dark skin tone",1.0,apology|ask|beg|bow|bowing|dark skin tone|favor|forgive|gesture|meditate|meditation|person|pity|regret|sorry,person-people,people-body,person-gesture,🙇,🏿
🙇‍♂️,"man bowing",4.0,apology|ask|beg|bow|bowing|favor|forgive|gesture|man|meditate|meditation|pity|regret|sorry,person-people,people-body,person-gesture,,
🙇🏻‍♂️,"man bowing: light skin tone",4.0,apology|ask|beg|bow|bowing|favor|forgive|gesture|light skin tone|man|meditate|meditation|pity|regret|sorry,person-people,people-body,person-gesture,🙇‍♂️,🏻
🙇🏼‍♂️,"man bowing: medium-light skin tone",4.0,apology|ask|beg|bow|bowing|favor|forgive|gesture|man|meditate|meditation|medium-light skin tone|pity|regret|sorry,person-people,people-body,person-gesture,🙇‍♂️,🏼
🙇🏽‍♂️,"man bowing: medium skin tone",4.0,apology|ask|beg|bow|bowing|favor|forgive|gesture|man|meditate|meditation|medium skin tone|pity|regret|sorry,person-people,people-body,person-gesture,🙇‍♂️,🏽
🙇🏾‍♂️,"man bowing: medium-dark skin tone",4.0,apology|ask|beg|bow|bowing|favor|forgive|gesture|man|meditate|meditation|medium-dark skin tone|pity|regret|sorry,person-people,people-body,person-gesture,🙇‍♂️,🏾
🙇🏿‍♂️,"man bowing: dark skin tone",4.0,apology|ask|beg|bow|bowing|dark skin tone|favor|forgive|gesture|man|meditate|meditation|pity|regret|sorry,person-people,people-body,person-gesture,🙇‍♂️,🏿
🙇‍♀️,"woman bowing",4.0,apology|ask|beg|bow|bowing|favor|forgive|gesture|meditate|meditation|pity|regret|sorry|woman,person-people,people-body,person-gesture,,
🙇🏻‍♀️,"woman bowing: light skin tone",4.0,apology|ask|beg|bow|bowing|favor|forgive|gesture|light skin tone|meditate|meditation|pity|regret|sorry|woman,person-people,people-body,person-gesture,🙇‍♀️,🏻
🙇🏼‍♀️,"woman bowing: medium-light skin tone",4.0,apology|ask|beg|bow|bowing|favor|forgive|gesture|meditate|meditation|medium-light skin tone|pity|regret|sorry|woman,person-people,people-body,person-gesture,🙇‍♀️,🏼
🙇🏽‍♀️,"woman bowing: medium skin tone",4.0,apology|ask|beg|bow|bowing|favor|forgive|gesture|meditate|meditation|medium skin tone|pity|regret|sorry|woman,person-people,people-body,person-gesture,🙇‍♀️,🏽
🙇🏾‍♀️,"woman bowing: medium-dark skin tone",4.0,apology|ask|beg|bow|bowing|favor|forgive|gesture|meditate|meditation|medium-dark skin tone|pity|regret|sorry|woman,person-people,people-body,person-gesture,🙇‍♀️,🏾
🙇🏿‍♀️,"woman bowing: dark skin tone",4.0,apology|ask|beg|bow|bowing|dark skin tone|favor|forgive|gesture|meditate|meditation|pity|regret|sorry|woman,person-people,people-body,person-gesture,🙇‍♀️,🏿
🤦,"person facepalming",3.0,again|bewilder|disbelief|exasperation|facepalm|no|not|oh|omg|person|shock|smh,person-people,people-body,person-gesture,,
🤦🏻,"person facepalming: light skin tone",3.0,again|bewilder|disbelief|exasperation|facepalm|light skin tone|no|not|oh|omg|person|shock|smh,person-people,people-body,person-gesture,🤦,🏻
🤦🏼,"person facepalming: medium-light skin tone",3.0,again|bewilder|disbelief|exasperation|facepalm|medium-light skin tone|no|not|oh|omg|person|shock|smh,person-people,people-body,person-gesture,🤦,🏼
🤦🏽,"person facepalming: medium skin tone",3.0,again|bewilder|disbelief|exasperation|facepalm|medium skin tone|no|not|oh|omg|person|shock|smh,person-people,people-body,person-gesture,🤦,🏽
🤦🏾,"person facepalming: medium-dark skin tone",3.0,again|bewilder|disbelief|exasperation|facepalm|medium-dark skin tone|no|not|oh|omg|person|shock|smh,person-people,people-body,person-gesture,🤦,🏾
🤦🏿,"person facepalming: dark skin tone",3.0,again|bewilder|dark skin tone|disbelief|exasperation|facepalm|no|not|oh|omg|person|shock|smh,person-people,people-body,person-gesture,🤦,🏿
🤦‍♂️,"man facepalming",4.0,again|bewilder|disbelief|exasperation|facepalm|man|no|not|oh|omg|shock|smh,person-people,people-body,person-gesture,,
🤦🏻‍♂️,"man facepalming: light skin tone",4.0,again|bewilder|disbelief|exasperation|facepalm|light skin tone|man|no|not|oh|omg|shock|smh,person-people,people-body,person-gesture,🤦‍♂️,🏻
🤦🏼‍♂️,"man facepalming: medium-light skin tone",4.0,again|bewilder|disbelief|exasperation|facepalm|man|medium-light skin tone|no|not|oh|omg|shock|smh,person-people,people-body,person-gesture,🤦‍♂️,🏼
🤦🏽‍♂️,"man facepalming: medium skin tone",4.0,again|bewilder|disbelief|exasperation|facepalm|man|medium skin tone|no|not|oh|omg|shock|smh,person-people,people-body,person-gesture,🤦‍♂️,🏽
🤦🏾‍♂️,"man facepalming: medium-dark skin tone",4.0,again|bewilder|disbelief|exasperation|facepalm|man|medium-dark skin tone|no|not|oh|omg|shock|smh,person-people,people-body,person-gesture,🤦‍♂️,🏾
🤦🏿‍♂️,"man facepalming: dark skin tone",4.0,again|bewilder|dark skin tone|disbelief|exasperation|facepalm|man|no|not|oh|omg|shock|smh,person-people,people-body,person-gesture,🤦‍♂️,🏿
🤦‍♀️,"woman facepalming",4.0,again|bewilder|disbelief|exasperation|facepalm|no|not|oh|omg|shock|smh|woman,person-people,people-body,person-gesture,,
🤦🏻‍♀️,"woman facepalming: light skin tone",4.0,again|bewilder|disbelief|exasperation|facepalm|light skin tone|no|not|oh|omg|shock|smh|woman,person-people,people-body,person-gesture,🤦‍♀️,🏻
🤦🏼‍♀️,"woman facepalming: medium-light skin tone",4.0,again|bewilder|disbelief|exasperation|facepalm|medium-light skin tone|no|not|oh|omg|shock|smh|woman,person-people,people-body,person-gesture,🤦‍♀️,🏼
🤦🏽‍♀️,"woman facepalming: medium skin tone",4.0,again|bewilder|disbelief|exasperation|facepalm|medium skin tone|no|not|oh|omg|shock|smh|woman,person-people,people-body,person-gesture,🤦‍♀️,🏽
🤦🏾‍♀️,"woman facepalming: medium-dark skin tone",4.0,again|bewilder|disbelief|exasperation|facepalm|medium-dark skin tone|no|not|oh|omg|shock|smh|woman,person-people,people-body,person-gesture,🤦‍♀️,🏾
🤦🏿‍♀️,"woman facepalming: dark skin tone",4.0,again|bewilder|dark skin tone|disbelief|exasperation|facepalm|no|not|oh|omg|shock|smh|woman,person-people,people-body,person-gesture,🤦‍♀️,🏿
🤷,"person shrugging",3.0,doubt|dunno|guess|idk|ignorance|indifference|knows|maybe|person|shrug|shrugging|whatever|who,person-people,people-body,person-gesture,,
🤷🏻,"person shrugging: light skin tone",3.0,doubt|dunno|guess|idk|ignorance|indifference|knows|light skin tone|maybe|person|shrug|shrugging|whatever|who,person-people,people-body,person-gesture,🤷,🏻
🤷🏼,"person shrugging: medium-light skin tone",3.0,doubt|dunno|guess|idk|ignorance|indifference|knows|maybe|medium-light skin tone|person|shrug|shrugging|whatever|who,person-people,people-body,person-gesture,🤷,🏼
🤷🏽,"person shrugging: medium skin tone",3.0,doubt|dunno|guess|idk|ignorance|indifference|knows|maybe|medium skin tone|person|shrug|shrugging|whatever|who,person-people,people-body,person-gesture,🤷,🏽
🤷🏾,"person shrugging: medium-dark skin tone",3.0,doubt|dunno|guess|idk|ignorance|indifference|knows|maybe|medium-dark skin tone|person|shrug|shrugging|whatever|who,person-people,people-body,person-gesture,🤷,🏾
🤷🏿,"person shrugging: dark skin tone",3.0,dark skin tone|doubt|dunno|guess|idk|ignorance|indifference|knows|maybe|person|shrug|shrugging|whatever|who,person-people,people-body,person-gesture,🤷,🏿
🤷‍♂️,"man shrugging",4.0,doubt|dunno|guess|idk|ignorance|indifference|knows|man|maybe|shrug|shrugging|whatever|who,person-people,people-body,person-gesture,,
🤷🏻‍♂️,"man shrugging: light skin tone",4.0,doubt|dunno|guess|idk|ignorance|indifference|knows|light skin tone|man|maybe|shrug|shrugging|whatever|who,person-people,people-body,person-gesture,🤷‍♂️,🏻
🤷🏼‍♂️,"man shrugging: medium-light skin tone",4.0,doubt|dunno|guess|idk|ignorance|indifference|knows|man|maybe|medium-light skin tone|shrug|shrugging|whatever|who,person-people,people-body,person-gesture,🤷‍♂️,🏼
🤷🏽‍♂️,"man shrugging: medium skin tone",4.0,doubt|dunno|guess|idk|ignorance|indifference|knows|man|maybe|medium skin tone|shrug|shrugging|whatever|who,person-people,people-body,person-gesture,🤷‍♂️,🏽
🤷🏾‍♂️,"man shrugging: medium-dark skin tone",4.0,doubt|dunno|guess|idk|ignorance|indifference|knows|man|maybe|medium-dark skin tone|shrug|shrugging|whatever|who,person-people,people-body,person-gesture,🤷‍♂️,🏾
🤷🏿‍♂️,"man shrugging: dark skin tone",4.0,dark skin tone|doubt|dunno|guess|idk|ignorance|indifference|knows|man|maybe|shrug|shrugging|whatever|who,person-people,people-body,person-gesture,🤷‍♂️,🏿
🤷‍♀️,"woman shrugging",4.0,doubt|dunno|guess|idk|ignorance|indifference|knows|maybe|shrug|shrugging|whatever|who|woman,person-people,people-body,person-gesture,,
🤷🏻‍♀️,"woman shrugging: light skin tone",4.0,doubt|dunno|guess|idk|ignorance|indifference|knows|light skin tone|maybe|shrug|shrugging|whatever|who|woman,person-people,people-body,person-gesture,🤷‍♀️,🏻
🤷🏼‍♀️,"woman shrugging: medium-light skin tone",4.0,doubt|dunno|guess|idk|ignorance|indifference|knows|maybe|medium-light skin tone|shrug|shrugging|whatever|who|woman,person-people,people-body,person-gesture,🤷‍♀️,🏼
🤷🏽‍♀️,"woman shrugging: medium skin tone",4.0,doubt|dunno|guess|idk|ignorance|indifference|knows|maybe|medium skin tone|shrug|shrugging|whatever|who|woman,person-people,people-body,person-gesture,🤷‍♀️,🏽
🤷🏾‍♀️,"woman shrugging: medium-dark skin tone",4.0,doubt|dunno|guess|idk|ignorance|indifference|knows|maybe|medium-dark skin tone|shrug|shrugging|whatever|who|woman,person-people,people-body,person-gesture,🤷‍♀️,🏾
🤷🏿‍♀️,"woman shrugging: dark skin tone",4.0,dark skin tone|doubt|dunno|guess|idk|ignorance|indifference|knows|maybe|shrug|shrugging|whatever|who|woman,person-people,people-body,person-gesture,🤷‍♀️,🏿
🧑‍⚕️,"health worker",12.1,doctor|health|healthcare|nurse|therapist|worker,person-people,people-body,person-role,,
🧑🏻‍⚕️,"health worker: light skin tone",12.1,doctor|health|healthcare|light skin tone|nurse|therapist|worker,person-people,people-body,person-role,🧑‍⚕️,🏻
🧑🏼‍⚕️,"health worker: medium-light skin tone",12.1,doctor|health|healthcare|medium-light skin tone|nurse|therapist|worker,person-people,people-body,person-role,🧑‍⚕️,🏼
🧑🏽‍⚕️,"health worker: medium skin tone",12.1,doctor|health|healthcare|medium skin tone|nurse|therapist|worker,person-people,people-body,person-role,🧑‍⚕️,🏽
🧑🏾‍⚕️,"health worker: medium-dark skin tone",12.1,doctor|health|healthcare|medium-dark skin tone|nurse|therapist|worker,person-people,people-body,person-role,🧑‍⚕️,🏾
🧑🏿‍⚕️,"health worker: dark skin tone",12.1,dark skin tone|doctor|health|healthcare|nurse|therapist|worker,person-people,people-body,person-role,🧑‍⚕️,🏿
👨‍⚕️,"man health worker",4.0,doctor|health|healthcare|man|nurse|therapist|worker,person-people,people-body,person-role,,
👨🏻‍⚕️,"man health worker: light skin tone",4.0,doctor|health|healthcare|light skin tone|man|nurse|therapist|worker,person-people,people-body,person-role,👨‍⚕️,🏻
👨🏼‍⚕️,"man health worker: medium-light skin tone",4.0,doctor|health|healthcare|man|medium-light skin tone|nurse|therapist|worker,person-people,people-body,person-role,👨‍⚕️,🏼
👨🏽‍⚕️,"man health worker: medium skin tone",4.0,doctor|health|healthcare|man|medium skin tone|nurse|therapist|worker,person-people,people-body,person-role,👨‍⚕️,🏽
👨🏾‍⚕️,"man health worker: medium-dark skin tone",4.0,doctor|health|healthcare|man|medium-dark skin tone|nurse|therapist|worker,person-people,people-body,person-role,👨‍⚕️,🏾
👨🏿‍⚕️,"man health worker: dark skin tone",4.0,dark skin tone|doctor|health|healthcare|man|nurse|therapist|worker,person-people,people-body,person-role,👨‍⚕️,🏿
👩‍⚕️,"woman health worker",4.0,doctor|health|healthcare|nurse|therapist|woman|worker,person-people,people-body,person-role,,
👩🏻‍⚕️,"woman health worker: light skin tone",4.0,doctor|health|healthcare|light skin tone|nurse|therapist|woman|worker,person-people,people-body,person-role,👩‍⚕️,🏻
👩🏼‍⚕️,"woman health worker: medium-light skin tone",4.0,doctor|health|healthcare|medium-light skin tone|nurse|therapist|woman|worker,person-people,people-body,person-role,👩‍⚕️,🏼
👩🏽‍⚕️,"woman health worker: medium skin tone",4.0,doctor|health|healthcare|medium skin tone|nurse|therapist|woman|worker,person-people,people-body,person-role,👩‍⚕️,🏽
👩🏾‍⚕️,"woman health worker: medium-dark skin tone",4.0,doctor|health|healthcare|medium-dark skin tone|nurse|therapist|woman|worker,person-people,people-body,person-role,👩‍⚕️,🏾
👩🏿‍⚕️,"woman health worker: dark skin tone",4.0,dark skin tone|doctor|health|healthcare|nurse|therapist|woman|worker,person-people,people-body,person-role,👩‍⚕️,🏿
🧑‍🎓,"student",12.1,graduate|student,person-people,people-body,person-role,,
🧑🏻‍🎓,"student: light skin tone",12.1,graduate|light skin tone|student,person-people,people-body,person-role,🧑‍🎓,🏻
🧑🏼‍🎓,"student: medium-light skin tone",12.1,graduate|medium-light skin tone|student,person-people,people-body,person-role,🧑‍🎓,🏼
🧑🏽‍🎓,"student: medium skin tone",12.1,graduate|medium skin tone|student,person-people,people-body,person-role,🧑‍🎓,🏽
🧑🏾‍🎓,"student: medium-dark skin tone",12.1,graduate|medium-dark skin tone|student,person-people,people-body,person-role,🧑‍🎓,🏾
🧑🏿‍🎓,"student: dark skin tone",12.1,dark skin tone|graduate|student,person-people,people-body,person-role,🧑‍🎓,🏿
👨‍🎓,"man student",4.0,graduate|man|student,person-people,people-body,person-role,,
👨🏻‍🎓,"man student: light skin tone",4.0,graduate|light skin tone|man|student,person-people,people-body,person-role,👨‍🎓,🏻
👨🏼‍🎓,"man student: medium-light skin tone",4.0,graduate|man|medium-light skin tone|student,person-people,people-body,person-role,👨‍🎓,🏼
👨🏽‍🎓,"man student: medium skin tone",4.0,graduate|man|medium skin tone|student,person-people,people-body,person-role,👨‍🎓,🏽
👨🏾‍🎓,"man student: medium-dark skin tone",4.0,graduate|man|medium-dark skin tone|student,person-people,people-body,person-role,👨‍🎓,🏾
👨🏿‍🎓,"man student: dark skin tone",4.0,dark skin tone|graduate|man|student,person-people,people-body,person-role,👨‍🎓,🏿
👩‍🎓,"woman student",4.0,graduate|student|woman,person-people,people-body,person-role,,
👩🏻‍🎓,"woman student: light skin tone",4.0,graduate|light skin tone|student|woman,person-people,people-body,person-role,👩‍🎓,🏻
👩🏼‍🎓,"woman student: medium-light skin tone",4.0,graduate|medium-light skin tone|student|woman,person-people,people-body,person-role,👩‍🎓,🏼
👩🏽‍🎓,"woman student: medium skin tone",4.0,graduate|medium skin tone|student|woman,person-people,people-body,person-role,👩‍🎓,🏽
👩🏾‍🎓,"woman student: medium-dark skin tone",4.0,graduate|medium-dark skin tone|student|woman,person-people,people-body,person-role,👩‍🎓,🏾
👩🏿‍🎓,"woman student: dark skin tone",4.0,dark skin tone|graduate|student|woman,person-people,people-body,person-role,👩‍🎓,🏿
🧑‍🏫,"teacher",12.1,instructor|lecturer|professor|teacher,person-people,people-body,person-role,,
🧑🏻‍🏫,"teacher: light skin tone",12.1,instructor|lecturer|light skin tone|professor|teacher,person-people,people-body,person-role,🧑‍🏫,🏻
🧑🏼‍🏫,"teacher: medium-light skin tone",12.1,instructor|lecturer|medium-light skin tone|professor|teacher,person-people,people-body,person-role,🧑‍🏫,🏼
🧑🏽‍🏫,"teacher: medium skin tone",12.1,instructor|lecturer|medium skin tone|professor|teacher,person-people,people-body,person-role,🧑‍🏫,🏽
🧑🏾‍🏫,"teacher: medium-dark skin tone",12.1,instructor|lecturer|medium-dark skin tone|professor|teacher,person-people,people-body,person-role,🧑‍🏫,🏾
🧑🏿‍🏫,"teacher: dark skin tone",12.1,dark skin tone|instructor|lecturer|professor|teacher,person-people,people-body,person-role,🧑‍🏫,🏿
👨‍🏫,"man teacher",4.0,instructor|lecturer|man|professor|teacher,person-people,people-body,person-role,,
👨🏻‍🏫,"man teacher: light skin tone",4.0,instructor|lecturer|light skin tone|man|professor|teacher,person-people,people-body,person-role,👨‍🏫,🏻
👨🏼‍🏫,"man teacher: medium-light skin tone",4.0,instructor|lecturer|man|medium-light skin tone|professor|teacher,person-people,people-body,person-role,👨‍🏫,🏼
👨🏽‍🏫,"man teacher: medium skin tone",4.0,instructor|lecturer|man|medium skin tone|professor|teacher,person-people,people-body,person-role,👨‍🏫,🏽
👨🏾‍🏫,"man teacher: medium-dark skin tone",4.0,instructor|lecturer|man|medium-dark skin tone|professor|teacher,person-people,people-body,person-role,👨‍🏫,🏾
👨🏿‍🏫,"man teacher: dark skin tone",4.0,dark skin tone|instructor|lecturer|man|professor|teacher,person-people,people-body,person-role,👨‍🏫,🏿
👩‍🏫,"woman teacher",4.0,instructor|lecturer|professor|teacher|woman,person-people,people-body,person-role,,
👩🏻‍🏫,"woman teacher: light skin tone",4.0,instructor|lecturer|light skin tone|professor|teacher|woman,person-people,people-body,person-role,👩‍🏫,🏻
👩🏼‍🏫,"woman teacher: medium-light skin tone",4.0,instructor|lecturer|medium-light skin tone|professor|teacher|woman,person-people,people-body,person-role,👩‍🏫,🏼
👩🏽‍🏫,"woman teacher: medium skin tone",4.0,instructor|lecturer|medium skin tone|professor|teacher|woman,person-people,people-body,person-role,👩‍🏫,🏽
👩🏾‍🏫,"woman teacher: medium-dark skin tone",4.0,instructor|lecturer|medium-dark skin tone|professor|teacher|woman,person-people,people-body,person-role,👩‍🏫,🏾
👩🏿‍🏫,"woman teacher: dark skin tone",4.0,dark skin tone|instructor|lecturer|professor|teacher|woman,person-people,people-body,person-role,👩‍🏫,🏿
🧑‍⚖️,"judge",12.1,judge|justice|law|scales,person-people,people-body,person-role,,
🧑🏻‍⚖️,"judge: light skin tone",12.1,judge|justice|law|light skin tone|scales,person-people,people-body,person-role,🧑‍⚖️,🏻
🧑🏼‍⚖️,"judge: medium-light skin tone",12.1,judge|justice|law|medium-light skin tone|scales,person-people,people-body,person-role,🧑‍⚖️,🏼
🧑🏽‍⚖️,"judge: medium skin tone",12.1,judge|justice|law|medium skin tone|scales,person-people,people-body,person-role,🧑‍⚖️,🏽
🧑🏾‍⚖️,"judge: medium-dark skin tone",12.1,judge|justice|law|medium-dark skin tone|scales,person-people,people-body,person-role,🧑‍⚖️,🏾
🧑🏿‍⚖️,"judge: dark skin tone",12.1,dark skin tone|judge|justice|law|scales,person-people,people-body,person-role,🧑‍⚖️,🏿
👨‍⚖️,"man judge",4.0,judge|justice|law|man|scales,person-people,people-body,person-role,,
👨🏻‍⚖️,"man judge: light skin tone",4.0,judge|justice|law|light skin tone|man|scales,person-people,people-body,person-role,👨‍⚖️,🏻
👨🏼‍⚖️,"man judge: medium-light skin tone",4.0,judge|justice|law|man|medium-light skin tone|scales,person-people,people-body,person-role,👨‍⚖️,🏼
👨🏽‍⚖️,"man judge: medium skin tone",4.0,judge|justice|law|man|medium skin tone|scales,person-people,people-body,person-role,👨‍⚖️,🏽
👨🏾‍⚖️,"man judge: medium-dark skin tone",4.0,judge|justice|law|man|medium-dark skin tone|scales,person-people,people-body,person-role,👨‍⚖️,🏾
👨🏿‍⚖️,"man judge: dark skin tone",4.0,dark skin tone|judge|justice|law|man|scales,person-people,people-body,person-role,👨‍⚖️,🏿
👩‍⚖️,"woman judge",4.0,judge|justice|law|scales|woman,person-people,people-body,person-role,,
👩🏻‍⚖️,"woman judge: light skin tone",4.0,judge|justice|law|light skin tone|scales|woman,person-people,people-body,person-role,👩‍⚖️,🏻
👩🏼‍⚖️,"woman judge: medium-light skin tone",4.0,judge|justice|law|medium-light skin tone|scales|woman,person-people,people-body,person-role,👩‍⚖️,🏼
👩🏽‍⚖️,"woman judge: medium skin tone",4.0,judge|justice|law|medium skin tone|scales|woman,person-people,people-body,person-role,👩‍⚖️,🏽
👩🏾‍⚖️,"woman judge: medium-dark skin tone",4.0,judge|justice|law|medium-dark skin tone|scales|woman,person-people,people-body,person-role,👩‍⚖️,🏾
👩🏿‍⚖️,"woman judge: dark skin tone",4.0,dark skin tone|judge|justice|law|scales|woman,person-people,people-body,person-role,👩‍⚖️,🏿
🧑‍🌾,"farmer",12.1,farmer|gardener|rancher,person-people,people-body,person-role,,
🧑🏻‍🌾,"farmer: light skin tone",12.1,farmer|gardener|light skin tone|rancher,person-people,people-body,person-role,🧑‍🌾,🏻
🧑🏼‍🌾,"farmer: medium-light skin tone",12.1,farmer|gardener|medium-light skin tone|rancher,person-people,people-body,person-role,🧑‍🌾,🏼
🧑🏽‍🌾,"farmer: medium skin tone",12.1,farmer|gardener|medium skin tone|rancher,person-people,people-body,person-role,🧑‍🌾,🏽
🧑🏾‍🌾,"farmer: medium-dark skin tone",12.1,farmer|gardener|medium-dark skin tone|rancher,person-people,people-body,person-role,🧑‍🌾,🏾
🧑🏿‍🌾,"farmer: dark skin tone",12.1,dark skin tone|farmer|gardener|rancher,person-people,people-body,person-role,🧑‍🌾,🏿
👨‍🌾,"man farmer",4.0,farmer|gardener|man|rancher,person-people,people-body,person-role,,
👨🏻‍🌾,"man farmer: light skin tone",4.0,farmer|gardener|light skin tone|man|rancher,person-people,people-body,person-role,👨‍🌾,🏻
👨🏼‍🌾,"man farmer: medium-light skin tone",4.0,farmer|gardener|man|medium-light skin tone|rancher,person-people,people-body,person-role,👨‍🌾,🏼
👨🏽‍🌾,"man farmer: medium skin tone",4.0,farmer|gardener|man|medium skin tone|rancher,person-people,people-body,person-role,👨‍🌾,🏽
👨🏾‍🌾,"man farmer: medium-dark skin tone",4.0,farmer|gardener|man|medium-dark skin tone|rancher,person-people,people-body,person-role,👨‍🌾,🏾
👨🏿‍🌾,"man farmer: dark skin tone",4.0,dark skin tone|farmer|gardener|man|rancher,person-people,people-body,person-role,👨‍🌾,🏿
👩‍🌾,"woman farmer",4.0,farmer|gardener|rancher|woman,person-people,people-body,person-role,,
👩🏻‍🌾,"woman farmer: light skin tone",4.0,farmer|gardener|light skin tone|rancher|woman,person-people,people-body,person-role,👩‍🌾,🏻
