emoji,description,version,keywords,category,group,subgroup,parent,components
👩🏾‍🦼,"woman in motorized wheelchair: medium-dark skin tone",12.0,accessibility|medium-dark skin tone|motorized|wheelchair|woman,person-people,people-body,person-activity,👩‍🦼,🏾
👩🏿‍🦼,"woman in motorized wheelchair: dark skin tone",12.0,accessibility|dark skin tone|motorized|wheelchair|woman,person-people,people-body,person-activity,👩‍🦼,🏿
👩‍🦼‍➡️,"woman in motorized wheelchair: facing right",15.1,accessibility|facing|motorized|right|wheelchair|woman,person-people,people-body,person-activity,,
👩🏻‍🦼‍➡️,"woman in motorized wheelchair: light skin tone, facing right",15.1,accessibility|facing|light skin tone|motorized|right|wheelchair|woman,person-people,people-body,person-activity,👩‍🦼‍➡️,🏻
👩🏼‍🦼‍➡️,"woman in motorized wheelchair: medium-light skin tone, facing right",15.1,accessibility|facing|medium-light skin tone|motorized|right|wheelchair|woman,person-people,people-body,person-activity,👩‍🦼‍➡️,🏼
👩🏽‍🦼‍➡️,"woman in motorized wheelchair: medium skin tone, facing right",15.1,accessibility|facing|medium skin tone|motorized|right|wheelchair|woman,person-people,people-body,person-activity,👩‍🦼‍➡️,🏽
👩🏾‍🦼‍➡️,"woman in motorized wheelchair: medium-dark skin tone, facing right",15.1,accessibility|facing|medium-dark skin tone|motorized|right|wheelchair|woman,person-people,people-body,person-activity,👩‍🦼‍➡️,🏾
👩🏿‍🦼‍➡️,"woman in motorized wheelchair: dark skin tone, facing right",15.1,accessibility|dark skin tone|facing|motorized|right|wheelchair|woman,person-people,people-body,person-activity,👩‍🦼‍➡️,🏿
🧑‍🦽,"person in manual wheelchair",12.1,accessibility|manual|person|wheelchair,person-people,people-body,person-activity,,
🧑🏻‍🦽,"person in manual wheelchair: light skin tone",12.1,accessibility|light skin tone|manual|person|wheelchair,person-people,people-body,person-activity,🧑‍🦽,🏻
🧑🏼‍🦽,"person in manual wheelchair: medium-light skin tone",12.1,accessibility|manual|medium-light skin tone|person|wheelchair,person-people,people-body,person-activity,🧑‍🦽,🏼
🧑🏽‍🦽,"person in manual wheelchair: medium skin tone",12.1,accessibility|manual|medium skin tone|person|wheelchair,person-people,people-body,person-activity,🧑‍🦽,🏽
🧑🏾‍🦽,"person in manual wheelchair: medium-dark skin tone",12.1,accessibility|manual|medium-dark skin tone|person|wheelchair,person-people,people-body,person-activity,🧑‍🦽,🏾
🧑🏿‍🦽,"person in manual wheelchair: dark skin tone",12.1,accessibility|dark skin tone|manual|person|wheelchair,person-people,people-body,person-activity,🧑‍🦽,🏿
🧑‍🦽‍➡️,"person in manual wheelchair: facing right",15.1,accessibility|facing|manual|person|right|wheelchair,person-people,people-body,person-activity,,
🧑🏻‍🦽‍➡️,"person in manual wheelchair: light skin tone, facing right",15.1,accessibility|facing|light skin tone|manual|person|right|wheelchair,person-people,people-body,person-activity,🧑‍🦽‍➡️,🏻
🧑🏼‍🦽‍➡️,"person in manual wheelchair: medium-light skin tone, facing right",15.1,accessibility|facing|manual|medium-light skin tone|person|right|wheelchair,person-people,people-body,person-activity,🧑‍🦽‍➡️,🏼
